,date_formatted,station,sex,n,g,treatment,julian,days_since_start,carcass_age
83,10/13/2017,CARPENTER_YEARLING,female,507,96,control,286,428,2
84,10/13/2017,CARPENTER_YEARLING,female,411,0,control,286,428,2
85,10/13/2017,CARPENTER_YEARLING,male,12,0,control,286,428,2
86,10/14/2017,CARPENTER_YEARLING,female,2257,338,control,287,429,3
88,10/19/2017,CARPENTER_YEARLING,female,136,38,control,292,434,8
90,10/20/2017,CARPENTER_YEARLING,female,16,0,control,293,435,9
91,10/20/2017,CARPENTER_YEARLING,female,6,0,control,293,435,9
93,10/22/2017,CARPENTER_YEARLING,male,14,0,control,295,437,11
94,10/23/2017,CARPENTER_YEARLING,female,275,147,control,296,438,12
95,10/23/2017,CARPENTER_YEARLING,male,31,0,control,296,438,12
96,10/24/2017,CARPENTER_YEARLING,female,659,215,control,297,439,13
97,10/24/2017,CARPENTER_YEARLING,male,71,3,control,297,439,13
98,10/27/2017,CARPENTER_YEARLING,female,116,9,control,300,442,16
99,10/28/2017,CARPENTER_YEARLING,female,43,14,control,301,443,17
100,11/5/2017,CARPENTER_YEARLING,female,178,171,control,309,451,25
127,5/20/2018,CARPENTER_YEARLING,male,5,0,control,140,647,221
129,5/22/2018,CARPENTER_YEARLING,male,51,30,control,142,649,223
140,6/13/2018,CARPENTER_YEARLING,male,2,0,control,164,671,245
221,10/13/2017,CARPENTER_YEARLING,male,962,6,LIZ,286,428,2
222,10/14/2017,CARPENTER_YEARLING,female,2728,84,LIZ,287,429,3
223,10/15/2017,CARPENTER_YEARLING,female,159,17,LIZ,288,430,4
224,10/19/2017,CARPENTER_YEARLING,female,83,19,LIZ,292,434,8
225,10/23/2017,CARPENTER_YEARLING,female,2,0,LIZ,296,438,12
226,10/24/2017,CARPENTER_YEARLING,female,1,0,LIZ,297,439,13
227,10/27/2017,CARPENTER_YEARLING,female,124,0,LIZ,300,442,16
228,10/29/2017,CARPENTER_YEARLING,female,129,82,LIZ,302,444,18
229,10/29/2017,CARPENTER_YEARLING,male,9,0,LIZ,302,444,18
